set,X,Y,RELEASE_DATE,RELEASE_VESSEL,Tagger,no_tags,Year,month,Julian,week
590,-64.9931,45.1633,2023-08-28,Lady Melissa,Joseph Nickerson,93,2023,8,240,35
591,-66.38277778,43.28472222,2023-08-30,Lady Janice,Lee Surette,100,2023,8,242,35
592,-66.345,43.25305556,2023-08-30,Lady Janice,Lee Surette,150,2023,8,242,35
593,-64.8225,45.21111111,2023-08-29,Lady Melissa,Joseph Nickerson,193,2023,8,241,35
594,-66.42055556,43.28888889,2023-08-31,Lady Janice,Lee Surette,200,2023,8,243,35
595,-66.38055556,43.25055556,2023-09-04,Lady Janice,Lee Surette,200,2023,9,247,36
596,-66.37611111,43.25972222,2023-09-04,Lady Janice,Lee Surette,200,2023,9,247,36
597,-65.03361111,45.15777778,2023-08-29,Morning Star,Nicholas D'entremont,200,2023,8,241,35
598,-64.92277778,45.18972222,2023-08-29,Morning Star,Nicholas D'entremont,200,2023,8,241,35
599,-66.42,44.295,2023-08-30,Morning Star,Nicholas D'entremont,250,2023,8,242,35
600,-66.36638889,43.25305556,2023-09-04,Sealife II,Annik Doucette,250,2023,9,247,36
601,-66.46666667,44.05,2023-08-28,Tasha Marie,Dale Fitzgerald,455,2023,8,240,35
602,-66.35,43.25,2023-09-04,Tasha Marie,Dale Fitzgerald,247,2023,9,247,36
603,-65.01138889,45.15833333,2023-09-06,Lady Janice,Lee Surette,250,2023,9,249,36
604,-65.10277778,45.11111111,2023-09-07,Lady Janice,Lee Surette,150,2023,9,250,36
605,-65.09944444,45.11333333,2023-09-07,Sealife II,Annik Doucette,150,2023,9,250,36
606,-66.37361111,43.27138889,2023-09-03,Canada 100,William Cusack,351,2023,9,246,36
607,-65.045,45.13083333,2023-09-11,Lady Janice,Lee Surette,200,2023,9,254,37
608,-66.16916667,43.32638889,2023-09-12,Lady Janice,Lee Surette,250,2023,9,255,37
609,-66.12555556,43.28888889,2023-09-13,Lady Janice,Lee Surette,100,2023,9,256,37
610,-66.38083333,43.27944444,2023-09-17,Lady Janice,Lee Surette,200,2023,9,260,38
611,-65.01972222,45.14444444,2023-09-05,Morning Star,Nicholas d'Entremont,150,2023,9,248,36
612,-65.05333333,45.13916667,2023-09-11,Morning Star,Nicholas d'Entremont,150,2023,9,254,37
613,-66.34027778,44.29472222,2023-09-12,Morning Star,Nicholas d'Entremont,200,2023,9,255,37
614,-67.03166667,44.28638889,2023-09-07,Sealife II,Annik Doucette,200,2023,9,250,36
615,-66.13666667,43.28916667,2023-09-18,Sealife II,Annik Doucette,150,2023,9,261,38
616,-66.4,43.25,2023-09-11,Tasha Marie,Dale Fitzgerald,249,2023,9,254,37
617,-66.36638889,43.26666667,2023-09-05,Lady Melissa,Joseph Nickerson,164,2023,9,248,36
618,-66.35638889,43.26472222,2023-09-06,Lady Melissa,Joseph Nickerson,236,2023,9,249,36
619,-67.02166667,44.27305556,2023-09-07,Lady Melissa,Joseph Nickerson,145,2023,9,250,36
620,-65.03972222,45.14333333,2023-09-11,Lady Melissa,Joseph Nickerson,166,2023,9,254,37
621,-66.13166667,43.285,2023-09-12,Lady Melissa,Joseph Nickerson,193,2023,9,255,37
622,-66.16166667,43.31916667,2023-09-12,Lady Melissa,Joseph Nickerson,136,2023,9,255,37
623,-66.2847,43.31,2023-09-12,Canada 100,William Cusack,200,2023,9,255,37
624,-66.37583333,43.26888889,2023-09-12,Canada 100,William Cusack,150,2023,9,255,37
625,-65.0175,45.13833333,2023-09-10,Canada 100,William Cusack,350,2023,9,253,37
626,-66.37888889,43.32944444,2023-09-21,Fundy Monarch,William Cusack,400,2023,9,264,38
627,-66.36666667,43.26666667,2023-09-18,Fundy Monarch,William Cusack,250,2023,9,261,38
628,-66.1083,43.29638889,2023-09-25,Lady Janice II,NA,200,2023,9,268,39
629,-66.12166667,43.25194444,2023-09-25,Sealife II,Annik Doucette,200,2023,9,268,39
630,-66.06916667,43.26861111,2023-09-27,Lady Janice,Lee Surette,200,2023,9,270,39
631,-66.14,43.28805556,2023-09-18,Lady Melissa,Joseph Nickerson,159,2023,9,261,38
632,-66.50916667,43.9,2023-09-21,Lady Melissa,Joseph Nickerson,211,2023,9,264,38
633,-66.355,43.26694444,2023-09-21,Lady Melissa,Joseph Nickerson,165,2023,9,264,38
634,-66.38638889,43.31916667,2023-09-29,Lady Melissa,Joseph Nickerson,185,2023,9,272,39
635,-66.4,43.3075,2023-09-14,Sealife II,Annik Doucette,400,2023,9,257,37
636,-66.39083333,43.28388889,2023-09-17,Sealife II,Annik Doucette,200,2023,9,260,38
637,-66.38194444,43.3225,2023-09-21,Sealife II,Annik Doucette,301,2023,9,264,38
638,-66.35305556,43.25944444,2023-09-21,Sealife II,Annik Doucette,100,2023,9,264,38
639,-66.2886,43.20638889,2023-09-27,Sealife II,Annik Doucette,150,2023,9,270,39
640,-66.0475,43.23972222,2023-09-29,Sealife II,Annik Doucette,150,2023,9,272,39
641,-66.435,44.29055556,2023-10-03,Lady Janice,Lee Surette,150,2023,10,276,40
642,-66.48916667,43.895,2023-10-05,Lady Janice,Lee Surette,200,2023,10,278,40
643,-66.38055556,43.2525,2023-10-06,Lady Janice,Lee Surette,150,2023,10,279,40
644,-66.135,43.30277778,2023-10-12,Lady Janice,Lee Surette,250,2023,10,285,41
645,-66.63972222,44.63277778,2023-10-01,Lady Melissa,Joseph Nickerson,227,2023,10,274,40
646,-66.65333333,44.67416667,2023-10-02,Lady Melissa,Joseph Nickerson,195,2023,10,275,40
647,-66.32055556,44.36222222,2023-10-04,Lady Melissa,Joseph Nickerson,52,2023,10,277,40
648,-66.40277778,43.30333333,2023-10-05,Lady Melissa,Joseph Nickerson,143,2023,10,278,40
649,-66.37277778,43.2353,2023-10-05,Lady Melissa,Joseph Nickerson,83,2023,10,278,40
650,-67.03611111,44.26083333,2023-10-10,Lady Melissa,Joseph Nickerson,101,2023,10,283,41
651,-67.12111111,44.14916667,2023-10-12,Lady Melissa,Joseph Nickerson,176,2023,10,285,41
652,-66.43777778,44.26527778,2023-10-01,Morning Star,Nicholas D'entremont,200,2023,10,274,40
653,-66.33555556,44.30111111,2023-10-04,Morning Star,Nicholas D'entremont,151,2023,10,277,40
654,-66.41666667,44.25,2023-10-03,Tasha Marie,Dale Fitzgerald,107,2023,10,276,40
655,-66.36666667,44.31666667,2023-10-09,Tasha Marie,Dale Fitzgerald,115,2023,10,282,41
656,-67.01666667,44.25,2023-10-10,Tasha Marie,Dale Fitzgerald,277,2023,10,283,41
657,-67.11666667,44.1,2023-10-12,Tasha Marie,Dale Fitzgerald,291,2023,10,285,41
658,-66.44111111,44.24222222,2023-10-02,Morning Star,Nicholas D'entremont,150,2023,10,275,40
659,-66.37305556,44.32638889,2023-10-09,Lady Melissa,Joseph Nickerson,131,2023,10,282,41
660,-67.10972222,44.1547222,2023-10-09,Canada 100,William Cusack,351,2023,10,282,41
661,-66.65333333,44.65361111,2023-10-01,Sealife II,Annik Doucette,200,2023,10,274,40
662,-66.45444444,44.27,2023-10-03,Sealife II,Annik Doucette,151,2023,10,276,40
663,-66.10305556,43.26777778,2023-10-11,Sealife II,Annik Doucette,150,2023,10,284,41
664,-67.02111111,44.26972222,2023-10-15,Sealife II,Annik Doucette,150,2023,10,288,42
665,NA,44.278889,2023-10-03,Morning Star,Nicholas D'entremont,100,2023,10,276,40
666,NA,NA,2023-10-12,Morning Star,Nicholas D'entremont,400,2023,10,285,41
667,NA,NA,2023-10-10,Morning Star,Nicholas D'entremont,200,2023,10,283,41
